13:13:20:383 [ALWAYS]	GUDE Logging Started
13:13:20:383 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:13:20:383 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:13:20:383 [ERROR]	Initialize resume cache pointer failure
13:13:20:384 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
13:13:20:384 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
13:13:27:163 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
13:13:27:163 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:13:27:163 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:13:27:163 [ERROR]	Initialize resume cache pointer failure
13:13:27:163 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
13:13:27:164 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
